,Unnamed: 0_x,Feature,Chi2_x,Unnamed: 0_y,Chi2_y,Unnamed: 0,Chi2
155,10835,reuptak,9.057232423,9375,1.4,9410,2.887700535
156,10833,usa,9.049261084,9473,1.508982036,10957,13.782632
157,10829,amount,8.269207723,9510,1.611448692,9468,3.247724413
158,10805,withinday,8.254366323,6035,0.14,9186,2.535155476
159,10764,crossov,8.187906737,10076,4.634962006,8942,2.178484891
160,10763,under,8.182334596,8206,0.451898327,9859,6.914807856
161,10762,concomit,8.134302909,10438,11.03746371,11147,20.57022887
162,10761,paramet,8.05974026,7278,0.275142857,10927,11.90584274
163,10760,phase,7.935553017,9511,1.628814205,8449,1.231419727
164,10759,auc0,7.919913076,8566,0.592495063,8963,2.275616926
165,10757,vs,7.883138208,10140,5.88,8909,2.09226721
168,10754,smaller,7.881837374,8267,0.49,8720,1.61618991
166,10756,gluc,7.881837374,8290,0.49,8056,1.010695187
167,10755,solvay,7.881837374,8266,0.49,8099,1.010695187
169,10752,prior,7.867476074,10920,15.12,9461,3.213309566
170,10751,interv,7.81959627,10907,14.38875878,9311,2.567020251
171,10750,clin,7.70570693,10926,16.13794094,9851,6.799776713
172,10749,publish,7.677231556,9635,2.051658986,9641,4.475935829
173,10743,supervis,7.61768281,9096,0.98,8001,0.985994398
174,10742,hydroxi,7.532019704,9246,1.126012333,7775,0.816528952
175,10741,defin,7.384649833,8579,0.618131868,9743,5.160564925
176,10739,express,7.170614531,11136,31.16145393,8653,1.52039129
177,10737,coadministr,7.044334975,10393,9.1,11139,18.77005348
178,10736,evalu,7.043887147,10100,5.095238095,7106,0.572192513
179,10734,max,6.881773399,9039,0.933003375,9795,5.815076814
181,10731,qiagen,6.792924317,11251,70.11085714,8938,2.165775401
180,10733,best,6.792924317,9181,1.05,7711,0.741651812
182,10729,pharmacol,6.743146979,11046,24.30368234,9575,3.893324919
183,10728,test,6.728729868,9282,1.227300899,11131,17.62496815
184,10727,use,6.665319209,9260,1.186640413,8941,2.174284785
185,10726,ion,6.610837438,10084,4.856393443,6992,0.505479092
186,10725,disposit,6.596615506,9562,1.782878788,9816,6.119375574
187,10724,after,6.539971055,6543,0.174257102,8565,1.347810343
188,10723,compani,6.539483505,7238,0.221488095,6335,0.399419027
189,10718,microgram,6.471115092,8474,0.56,8247,1.155080214
